pid,year,yearly_total,cumulative_amount
1,2000,800.0,800.0
2,2000,780.0,780.0
3,1997,1800.0,1800.0
3,1998,625.0,2425.0
4,1999,5300.0,5300.0
4,2000,4000.0,9300.0
4,2001,2500.0,11800.0
5,1999,3010.0,3010.0
5,2000,2600.0,5610.0
5,2001,4500.0,10110.0
5,2002,3000.0,13110.0
5,2003,1000.0,14110.0
5,2004,2000.0,16110.0
6,1994,1300.0,1300.0
7,1998,6000.0,6000.0
7,1999,3200.0,9200.0
8,1999,250.0,250.0
9,1999,1000.0,1000.0
10,1998,800.0,800.0
11,2000,1500.0,1500.0
11,2002,1500.0,3000.0
12,1995,1000.0,1000.0
13,2000,500.0,500.0
13,2004,1500.0,2000.0
13,2007,15000.0,17000.0
14,2000,3420.0,3420.0
14,2001,4700.0,8120.0
14,2002,9814.0,17934.0
15,1998,1500.0,1500.0
16,1999,6500.0,6500.0
17,1998,3000.0,3000.0
17,1999,3000.0,6000.0
17,2000,8600.0,14600.0
17,2001,45.0,14645.0
18,2000,7800.0,7800.0
18,2001,5850.0,13650.0
18,2002,7800.0,21450.0
18,2003,9490.0,30940.0
18,2004,2600.0,33540.0
18,2005,4800.0,38340.0
18,2006,4100.0,42440.0
18,2007,3155.0,45595.0
18,2008,9514.0,55109.0
18,2009,8192.0,63301.0
18,2010,6723.0,70024.0
18,2011,9552.0,79576.0
18,2013,13950.0,93526.0
18,2014,7821.0,101347.0
18,2015,2138.0,103485.0
18,2016,7524.0,111009.0
18,2017,6596.0,117605.0
18,2018,6836.0,124441.0
18,2019,8824.0,133265.0
18,2020,3544.0,136809.0
18,2021,5760.0,142569.0
18,2022,7489.0,150058.0
18,2023,3874.0,153932.0
18,2024,3827.0,157759.0
19,1999,4760.0,4760.0
19,2000,460.0,5220.0
19,2001,2500.0,7720.0
20,1996,300.0,300.0
20,1998,1950.0,2250.0
20,1999,3000.0,5250.0
20,2001,22196.0,27446.0
21,1999,10000.0,10000.0
21,2000,16200.0,26200.0
21,2002,15556.0,41756.0
22,1999,11000.0,11000.0
22,2000,5000.0,16000.0
22,2002,250.0,16250.0
22,2003,600.0,16850.0
22,2004,3220.0,20070.0
22,2006,4366.0,24436.0
22,2007,46000.0,70436.0
22,2008,300121.0,370557.0
22,2009,8715.0,379272.0
24,1997,2245.0,2245.0
24,1998,1700.0,3945.0
24,1999,600.0,4545.0
25,1998,6000.0,6000.0
25,1999,10000.0,16000.0
25,2000,6000.0,22000.0
25,2001,6100.0,28100.0
25,2002,6000.0,34100.0
25,2003,6000.0,40100.0
25,2004,6776.0,46876.0
25,2005,7476.0,54352.0
25,2006,6776.0,61128.0
25,2007,6776.0,67904.0
25,2008,6886.0,74790.0
25,2009,7220.0,82010.0
25,2010,7920.0,89930.0
25,2011,6780.0,96710.0
25,2013,12684.0,109394.0
25,2015,13426.0,122820.0
25,2016,13974.0,136794.0
25,2017,26260.0,163054.0
25,2018,24806.0,187860.0
25,2019,12301.0,200161.0
25,2020,19909.0,220070.0
25,2021,22230.0,242300.0
25,2024,29793.0,272093.0
26,1998,2000.0,2000.0
26,2002,2000.0,4000.0
27,1999,10000.0,10000.0
27,2000,40800.0,50800.0
27,2001,16900.0,67700.0
27,2002,33000.0,100700.0
27,2003,50000.0,150700.0
27,2004,50000.0,200700.0
27,2005,126000.0,326700.0
27,2007,194100.0,520800.0
27,2008,138786.0,659586.0
27,2009,106325.0,765911.0
27,2010,135075.0,900986.0
27,2011,35100.0,936086.0
27,2012,70125.0,1006211.0
27,2013,191921.0,1198132.0
27,2014,181726.0,1379858.0
27,2015,96065.0,1475923.0
27,2016,100153.0,1576076.0
27,2017,149830.0,1725906.0
27,2018,107446.0,1833352.0
27,2019,105362.0,1938714.0
27,2020,106808.0,2045522.0
27,2021,107638.0,2153160.0
27,2022,110677.0,2263837.0
27,2023,89475.0,2353312.0
27,2024,87121.0,2440433.0
28,1998,1000.0,1000.0
28,2000,1000.0,2000.0
29,1999,500.0,500.0
30,1999,1030.0,1030.0
30,2000,1230.0,2260.0
30,2001,1410.0,3670.0
31,1998,750.0,750.0
32,1998,580.0,580.0
33,2000,16948.0,16948.0
33,2001,2560.0,19508.0
33,2002,14700.0,34208.0
33,2003,30645.0,64853.0
33,2005,4884.0,69737.0
33,2006,18000.0,87737.0
33,2007,10600.0,98337.0
33,2011,1600.0,99937.0
34,1997,800.0,800.0
34,2003,6440.0,7240.0
35,1999,21050.0,21050.0
35,2000,3150.0,24200.0
35,2001,43900.0,68100.0
35,2002,32500.0,100600.0
35,2003,35000.0,135600.0
35,2004,29500.0,165100.0
35,2005,39500.0,204600.0
35,2006,53500.0,258100.0
35,2007,59414.0,317514.0
35,2008,59807.0,377321.0
35,2009,57790.0,435111.0
35,2010,63225.0,498336.0
35,2011,60875.0,559211.0
35,2012,55380.0,614591.0
35,2013,51887.0,666478.0
35,2014,55914.0,722392.0
35,2015,52942.0,775334.0
35,2016,53444.0,828778.0
35,2017,61196.0,889974.0
35,2018,54967.0,944941.0
35,2019,54635.0,999576.0
35,2020,48441.0,1048017.0
35,2021,54822.0,1102839.0
35,2022,52926.0,1155765.0
35,2023,50132.0,1205897.0
36,1997,630.0,630.0
37,1999,5000.0,5000.0
37,2000,3000.0,8000.0
38,1995,700.0,700.0
39,1996,1000.0,1000.0
39,1997,1500.0,2500.0
39,1998,1738.0,4238.0
39,1999,1700.0,5938.0
39,2001,2000.0,7938.0
40,1997,3200.0,3200.0
40,1998,3400.0,6600.0
40,1999,1700.0,8300.0
40,2000,5500.0,13800.0
40,2001,10200.0,24000.0
40,2002,2600.0,26600.0
41,1996,1500.0,1500.0
41,1997,4500.0,6000.0
41,1999,6000.0,12000.0
41,2000,3000.0,15000.0
41,2001,3000.0,18000.0
41,2002,4325.0,22325.0
41,2003,4600.0,26925.0
41,2004,3000.0,29925.0
41,2005,2700.0,32625.0
41,2006,3500.0,36125.0
41,2007,3000.0,39125.0
41,2008,6000.0,45125.0
41,2009,4000.0,49125.0
41,2010,1637.0,50762.0
42,1994,3880.0,3880.0
42,1995,2750.0,6630.0
42,1996,5000.0,11630.0
42,1997,5000.0,16630.0
42,1998,5000.0,21630.0
42,1999,15000.0,36630.0
42,2000,5000.0,41630.0
42,2001,5000.0,46630.0
42,2002,18358.0,64988.0
42,2003,14070.0,79058.0
42,2004,18371.0,97429.0
42,2005,15462.0,112891.0
42,2006,18719.0,131610.0
42,2007,8940.0,140550.0
42,2008,25034.0,165584.0
42,2009,8536.0,174120.0
42,2010,18097.0,192217.0
42,2011,17752.0,209969.0
42,2012,7734.0,217703.0
42,2013,17967.0,235670.0
42,2014,15744.0,251414.0
42,2015,9471.0,260885.0
42,2016,9484.0,270369.0
42,2017,9748.0,280117.0
42,2018,4866.0,284983.0
42,2019,4881.0,289864.0
43,1994,1500.0,1500.0
43,1995,2000.0,3500.0
43,1996,1500.0,5000.0
43,1997,1800.0,6800.0
43,1998,3150.0,9950.0
43,1999,8800.0,18750.0
43,2000,6300.0,25050.0
43,2001,12788.0,37838.0
43,2002,16504.0,54342.0
43,2003,22231.0,76573.0
43,2004,66535.0,143108.0
43,2005,28972.0,172080.0
43,2006,5000.0,177080.0
43,2007,48630.0,225710.0
43,2008,115128.0,340838.0
43,2009,84629.0,425467.0
43,2010,87500.0,512967.0
43,2011,82400.0,595367.0
43,2012,70081.0,665448.0
43,2013,65229.0,730677.0
43,2014,62707.0,793384.0
43,2015,21790.0,815174.0
43,2016,65919.0,881093.0
43,2017,52392.0,933485.0
43,2018,47658.0,981143.0
43,2019,34605.0,1015748.0
43,2020,79464.0,1095212.0
43,2021,59807.0,1155019.0
43,2022,52038.0,1207057.0
43,2023,44758.0,1251815.0
43,2024,44055.0,1295870.0
44,2000,6400.0,6400.0
45,1996,1980.0,1980.0
45,1997,3500.0,5480.0
45,1998,1000.0,6480.0
45,1999,2800.0,9280.0
45,2001,1000.0,10280.0
45,2003,1000.0,11280.0
45,2005,1000.0,12280.0
45,2006,1000.0,13280.0
45,2007,1000.0,14280.0
45,2008,1001.0,15281.0
45,2010,0.0,15281.0
46,1997,1000.0,1000.0
46,1998,1500.0,2500.0
46,1999,1250.0,3750.0
46,2000,2500.0,6250.0
46,2001,5700.0,11950.0
46,2002,4200.0,16150.0
46,2003,1900.0,18050.0
46,2004,2145.0,20195.0
46,2005,2145.0,22340.0
47,2000,1500.0,1500.0
49,1998,5000.0,5000.0
49,1999,5000.0,10000.0
50,1999,6300.0,6300.0
